"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"f:\root\programming\fidan_bionluk\src\components\Faq.js", "JavaScript", 0, 42, 0, 2, 44
"f:\root\programming\fidan_bionluk\src\components\FirstInfoSection.js", "JavaScript", 0, 12, 0, 2, 14
"f:\root\programming\fidan_bionluk\src\components\Footer.js", "JavaScript", 0, 56, 0, 3, 59
"f:\root\programming\fidan_bionluk\src\components\Memberships.js", "JavaScript", 0, 81, 0, 3, 84
"f:\root\programming\fidan_bionluk\src\components\Navbar.js", "JavaScript", 0, 91, 1, 9, 101
"f:\root\programming\fidan_bionluk\src\components\Quotes.js", "JavaScript", 0, 118, 1, 2, 121
"f:\root\programming\fidan_bionluk\src\components\SecondInfoSection.js", "JavaScript", 0, 119, 0, 5, 124
"f:\root\programming\fidan_bionluk\src\components\WelcomePage.js", "JavaScript", 0, 7, 0, 2, 9
"f:\root\programming\fidan_bionluk\src\components\WhatWeOffer.js", "JavaScript", 0, 143, 0, 16, 159
"f:\root\programming\fidan_bionluk\src\containers\Cards.js", "JavaScript", 0, 7, 0, 2, 9
"f:\root\programming\fidan_bionluk\src\index.js", "JavaScript", 0, 14, 0, 4, 18
"f:\root\programming\fidan_bionluk\src\router\AppRouter.js", "JavaScript", 0, 24, 0, 3, 27
"f:\root\programming\fidan_bionluk\src\routes\Main.js", "JavaScript", 0, 25, 0, 2, 27
"f:\root\programming\fidan_bionluk\src\routes\NotFound.js", "JavaScript", 0, 7, 0, 2, 9
"f:\root\programming\fidan_bionluk\src\styles\base\_base.scss", "SCSS", 27, 0, 0, 7, 34
"f:\root\programming\fidan_bionluk\src\styles\base\_settings.scss", "SCSS", 27, 0, 6, 5, 38
"f:\root\programming\fidan_bionluk\src\styles\components\_cards.scss", "SCSS", 0, 0, 0, 1, 1
"f:\root\programming\fidan_bionluk\src\styles\components\_faq.scss", "SCSS", 13, 0, 0, 1, 14
"f:\root\programming\fidan_bionluk\src\styles\components\_first-info-section.scss", "SCSS", 42, 0, 2, 2, 46
"f:\root\programming\fidan_bionluk\src\styles\components\_footer.scss", "SCSS", 90, 0, 1, 1, 92
"f:\root\programming\fidan_bionluk\src\styles\components\_main.scss", "SCSS", 5, 0, 1, 0, 6
"f:\root\programming\fidan_bionluk\src\styles\components\_memberships.scss", "SCSS", 153, 0, 1, 3, 157
"f:\root\programming\fidan_bionluk\src\styles\components\_navbar.scss", "SCSS", 49, 0, 0, 0, 49
"f:\root\programming\fidan_bionluk\src\styles\components\_not-found.scss", "SCSS", 0, 0, 0, 1, 1
"f:\root\programming\fidan_bionluk\src\styles\components\_quotes.scss", "SCSS", 46, 0, 2, 1, 49
"f:\root\programming\fidan_bionluk\src\styles\components\_second-info-section.scss", "SCSS", 73, 0, 0, 3, 76
"f:\root\programming\fidan_bionluk\src\styles\components\_welcome-page.scss", "SCSS", 0, 0, 0, 1, 1
"f:\root\programming\fidan_bionluk\src\styles\components\_what-we-offer.scss", "SCSS", 53, 0, 3, 2, 58
"f:\root\programming\fidan_bionluk\src\styles\styles.scss", "SCSS", 14, 0, 0, 0, 14
"Total", "-", 592, 746, 18, 85, 1441